TRAIN_CO,CAR_CO,TRAIN_TT,CAR_TT,TRAIN_WT,CAR_WT,INC,FULL,FLEX,CHOICE,TRAIN_AV,CAR_AV
48.52569,49.72394,46.111305,42.69607,14.734729,21.964067,0.3467528,0.0,1.0,0.0,1.0,1.0
59.90511,93.568085,97.09766,50.59853,5.87948,5.2672644,0.6474096,1.0,0.0,0.0,1.0,1.0
58.767315,74.388435,71.27031,34.41136,26.594624,16.836704,0.22635788,0.0,0.0,0.0,1.0,1.0
75.975204,77.89862,70.71465,39.133995,5.7958384,16.50473,0.31939888,0.0,0.0,1.0,1.0,1.0
40.781425,31.13845,75.73189,81.4023,20.953644,26.608887,0.5552573,1.0,0.0,0.0,1.0,1.0
73.90304,52.102303,27.89261,87.12982,15.304681,15.941397,0.47200722,1.0,1.0,0.0,1.0,1.0
65.84561,88.458855,87.76242,29.734653,16.199715,24.829784,0.44087672,1.0,0.0,1.0,1.0,1.0
10.244,13.168621,66.67792,48.379295,18.814161,21.476263,0.22176939,0.0,0.0,1.0,1.0,1.0
19.307373,21.985888,27.628622,25.706692,24.515099,24.17407,0.89121985,1.0,0.0,0.0,1.0,1.0
9.782367,4.8899894,66.46604,69.93024,5.5385966,21.023344,0.20441823,0.0,0.0,0.0,1.0,1.0
91.25649,94.0618,23.582134,38.26038,17.19104,6.4743357,0.2618655,0.0,0.0,0.0,1.0,1.0
74.75783,63.221947,40.434986,92.89598,7.506235,19.7813,0.19982868,0.0,0.0,0.0,1.0,1.0
22.349813,14.104904,60.042435,62.991234,13.403418,14.738402,0.51449573,1.0,0.0,1.0,1.0,1.0
20.71225,8.669847,46.662594,57.339622,21.101831,28.617107,0.6884484,1.0,1.0,1.0,1.0,1.0
71.759186,32.782722,11.438439,93.130615,18.556908,18.35881,0.37800145,1.0,0.0,1.0,1.0,1.0
71.59967,93.072586,87.7895,19.445,21.732779,19.738544,0.41675496,1.0,1.0,0.0,1.0,1.0
29.786457,33.08627,46.384926,54.764664,23.883554,10.598616,0.179537,0.0,1.0,0.0,1.0,1.0
28.056509,21.394493,22.1461,40.12326,28.514275,21.4026,0.604948,1.0,0.0,1.0,1.0,1.0
47.3903,63.359035,99.32073,37.584835,17.067701,13.447586,0.39515507,0.0,1.0,0.0,1.0,1.0
84.094154,79.50009,81.73009,78.443535,17.938807,29.643242,0.5454398,1.0,1.0,0.0,1.0,1.0
78.37305,81.646835,95.20311,91.46968,29.085096,25.521465,0.23790352,0.0,0.0,1.0,1.0,1.0
94.528076,84.798004,50.062744,87.78602,19.722881,18.060009,0.38116097,1.0,1.0,0.0,1.0,1.0
66.46502,86.44416,88.986984,47.41284,29.807552,8.886302,0.30924815,0.0,0.0,1.0,1.0,1.0
61.979393,59.431927,13.645392,33.261578,28.075838,23.317577,0.27665222,0.0,0.0,0.0,1.0,1.0
12.494098,18.447205,88.24725,50.446255,16.797611,16.356178,0.22036542,0.0,0.0,1.0,1.0,1.0
56.709137,54.643227,55.999943,53.052574,17.47577,19.751583,0.25214028,0.0,0.0,1.0,1.0,1.0
12.709227,13.8906555,60.945667,31.885265,22.10232,27.459166,0.25697288,0.0,0.0,1.0,1.0,1.0
56.132458,61.73409,47.62838,26.652502,17.363617,6.482549,0.2430662,0.0,0.0,1.0,1.0,1.0
90.95628,89.75038,37.81713,72.35113,22.62584,9.32606,0.29674426,0.0,1.0,0.0,1.0,1.0
90.08587,53.48467,23.68519,90.94358,11.024019,10.657015,0.47444826,1.0,0.0,1.0,1.0,1.0
48.497173,38.689323,25.490694,76.513756,26.094065,28.269123,0.21805866,0.0,0.0,0.0,1.0,1.0
39.040333,26.768463,71.92405,99.04842,5.0536175,23.98716,0.2715066,0.0,0.0,0.0,1.0,1.0
83.102715,81.23793,99.09754,99.638756,22.797756,25.261671,0.23320253,0.0,1.0,1.0,1.0,1.0
41.068195,42.637665,19.348602,9.215665,18.008554,23.772028,0.18422228,0.0,1.0,0.0,1.0,1.0
61.45682,65.11126,85.80194,55.90503,23.854897,24.775839,0.20473066,0.0,1.0,1.0,1.0,1.0
12.077182,20.955338,87.06294,61.743782,29.989948,13.141886,0.31938827,0.0,1.0,0.0,1.0,1.0
78.94688,74.840294,41.329865,81.535095,29.276382,10.898267,0.3781218,1.0,1.0,1.0,1.0,1.0
58.87806,39.909363,52.47274,96.80247,9.998633,14.650901,0.49348596,1.0,1.0,1.0,1.0,1.0
69.05527,62.758743,25.179123,22.297127,16.42342,26.958742,0.49693996,1.0,1.0,1.0,1.0,1.0
45.09959,29.637224,16.130486,28.378431,6.635468,24.849726,0.5509004,1.0,1.0,0.0,1.0,1.0
48.734314,53.355904,26.768343,21.155891,21.649582,13.823079,0.25425336,0.0,0.0,0.0,1.0,1.0
66.677155,55.449825,12.986069,44.11068,22.306324,23.697744,0.27039522,1.0,0.0,0.0,1.0,1.0
20.584076,15.652674,49.800976,57.499443,13.19287,16.61148,0.6173844,1.0,0.0,0.0,1.0,1.0
8.713147,4.4776716,17.935677,24.318947,9.340023,9.607201,0.20983647,0.0,0.0,1.0,1.0,1.0
89.70063,79.58923,25.195143,69.07053,14.006966,7.275756,0.20685369,0.0,0.0,1.0,1.0,1.0
95.9922,95.67815,67.30066,31.57583,5.3963814,24.031153,0.3260361,0.0,1.0,1.0,1.0,1.0
18.128256,24.937653,94.8313,93.549065,24.561808,20.248928,0.5663951,1.0,1.0,0.0,1.0,1.0
82.167206,74.522644,53.334595,96.87696,15.0852785,7.7862816,0.3790639,1.0,1.0,1.0,1.0,1.0
96.323616,93.31061,74.13063,73.05339,7.8269143,27.925816,0.17603916,0.0,1.0,0.0,1.0,1.0
1.6650789,27.113556,39.076782,9.078577,28.270256,17.104525,0.45632303,1.0,0.0,1.0,1.0,1.0
48.644062,0.40956497,6.342021,98.358,14.938936,26.494574,0.604638,1.0,1.0,0.0,1.0,1.0
67.94498,58.231106,52.91071,91.6104,20.108734,23.208921,0.24021845,0.0,0.0,1.0,1.0,1.0
40.096237,31.984787,34.83777,79.936066,21.095232,7.7408614,0.3539327,0.0,0.0,1.0,1.0,1.0
89.40493,93.34532,85.34328,72.61537,11.050224,16.393354,0.42172426,1.0,1.0,0.0,1.0,1.0
54.63945,29.369947,18.356953,72.96165,24.464712,29.335135,0.51660496,1.0,1.0,1.0,1.0,1.0
18.890257,24.620266,63.64828,28.525904,10.009827,7.6103034,0.20933089,0.0,1.0,0.0,1.0,1.0
35.574078,14.4228115,26.965034,58.255703,19.640701,26.325771,0.50865203,1.0,0.0,0.0,1.0,1.0
50.009583,75.38187,33.61467,12.077446,27.273642,19.358393,0.74242646,1.0,0.0,1.0,1.0,1.0
