TRAIN_CO,CAR_CO,TRAIN_TT,CAR_TT,TRAIN_WT,CAR_WT,INC,FULL,FLEX,CHOICE,TRAIN_AV,CAR_AV
68.333046,48.347054,19.64547,81.59539,6.1272254,20.702185,0.3467528,0.0,1.0,1.0,1.0,1.0
28.982733,58.922775,75.30472,30.67418,11.993463,12.971958,0.6474096,1.0,0.0,0.0,1.0,1.0
97.415665,91.54176,30.014927,39.00226,19.928783,25.14318,0.22635788,0.0,0.0,1.0,1.0,1.0
76.1688,86.160545,55.705242,21.698914,18.350061,22.256828,0.31939888,0.0,0.0,0.0,1.0,1.0
30.84713,10.996114,6.3846216,31.470919,14.708276,20.69091,0.5552573,1.0,0.0,0.0,1.0,1.0
7.880422,40.689564,92.28097,12.40022,26.013515,22.883827,0.47200722,1.0,1.0,0.0,1.0,1.0
33.51755,78.993744,90.56791,25.379505,26.855309,14.033885,0.44087672,1.0,0.0,1.0,1.0,1.0
32.9479,30.730204,8.175035,9.491591,14.837925,18.96277,0.22176939,0.0,0.0,0.0,1.0,1.0
44.389446,71.294365,95.91019,64.51351,19.962471,19.350185,0.89121985,1.0,0.0,1.0,1.0,1.0
7.676829,1.2994417,18.034885,32.617508,5.753854,14.129923,0.20441823,0.0,0.0,0.0,1.0,1.0
34.808613,41.389996,31.963694,8.108716,8.262993,6.2524166,0.2618655,0.0,0.0,0.0,1.0,1.0
19.633276,22.765398,62.577904,49.167377,18.58912,19.171188,0.19982868,0.0,0.0,0.0,1.0,1.0
53.38316,55.028336,94.701385,90.92443,16.82034,17.3603,0.51449573,1.0,0.0,0.0,1.0,1.0
40.794304,57.50742,86.00988,71.58895,29.145012,15.082331,0.6884484,1.0,1.0,0.0,1.0,1.0
96.0021,87.080376,5.2146273,26.400282,10.852011,8.86167,0.37800145,1.0,0.0,1.0,1.0,1.0
37.841316,32.00295,54.51647,83.900024,27.531172,22.550638,0.41675496,1.0,1.0,0.0,1.0,1.0
28.770828,23.341293,57.443577,62.34767,16.088526,25.928661,0.179537,0.0,1.0,1.0,1.0,1.0
47.829937,23.096058,51.110855,64.9473,9.063399,24.78917,0.604948,1.0,0.0,0.0,1.0,1.0
26.552908,23.348154,77.97275,81.12029,21.48938,23.128225,0.39515507,0.0,1.0,1.0,1.0,1.0
17.291101,8.0106735,20.268091,55.004055,14.879566,8.075947,0.5454398,1.0,1.0,0.0,1.0,1.0
53.045845,66.70355,77.63324,19.809237,18.15388,15.396544,0.23790352,0.0,0.0,1.0,1.0,1.0
42.182568,25.465767,6.9769306,47.556206,14.377079,26.423641,0.38116097,1.0,1.0,0.0,1.0,1.0
53.10083,57.339645,17.844967,10.642627,16.47085,6.6381297,0.30924815,0.0,0.0,1.0,1.0,1.0
84.416435,62.215935,16.045937,93.57893,15.970234,29.599049,0.27665222,0.0,0.0,0.0,1.0,1.0
29.325335,32.794044,34.44027,38.37234,13.678021,10.470339,0.22036542,0.0,0.0,0.0,1.0,1.0
